prompt,judge_model,rated_model,score,parse_failed,raw_judgment_token_count
"Build a google sign in page that takes me to a profile page that shows my details. Keep the user logged in (using tokens or cookies), and show different messages based on the user's login status. I want the best implementation.",openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,8.0,False,6.0
"Build a google sign in page that takes me to a profile page that shows my details. Keep the user logged in (using tokens or cookies), and show different messages based on the user's login status. I want the best implementation.",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,9.0,False,6.0
Can you design a Venn diagram meme that humorously illustrates the unexpected similarities between three different things?,openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,8.0,False,6.0
Can you design a Venn diagram meme that humorously illustrates the unexpected similarities between three different things?,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,7.0,False,6.0
Can you design a Venn diagram meme that humorously illustrates the unexpected similarities between three different things?,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
"Did beethoven write solo piano music that would have been technologically impossible for his predecessors? think about the instrument mozart played, versus the one beethoven was playing by the early 19th century and later in his life. What became possible, sonically speaking, with this new instrument?  what are the very earliest beethoven piano works with passagework that would have been *technologically impossible* for mozart or haydn to write? what precise technological developments enabled this new style of play?",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,6.0,False,6.0
"Did beethoven write solo piano music that would have been technologically impossible for his predecessors? think about the instrument mozart played, versus the one beethoven was playing by the early 19th century and later in his life. What became possible, sonically speaking, with this new instrument?  what are the very earliest beethoven piano works with passagework that would have been *technologically impossible* for mozart or haydn to write? what precise technological developments enabled this new style of play?",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,9.0,False,6.0
"Did beethoven write solo piano music that would have been technologically impossible for his predecessors? think about the instrument mozart played, versus the one beethoven was playing by the early 19th century and later in his life. What became possible, sonically speaking, with this new instrument?  what are the very earliest beethoven piano works with passagework that would have been *technologically impossible* for mozart or haydn to write? what precise technological developments enabled this new style of play?",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,8.0,False,6.0
Provide the steps to draw a Volaticotheriumin in ASCII.,openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,4.0,False,6.0
Provide the steps to draw a Volaticotheriumin in ASCII.,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
Provide the steps to draw a Volaticotheriumin in ASCII.,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,9.0,False,6.0
"Write a sestina about Shakespeare's impact on modern economics. Be thorough, go beyond the surface level works and allusions.",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,9.0,False,245.0
"Write a sestina about Shakespeare's impact on modern economics. Be thorough, go beyond the surface level works and allusions.",openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,7.0,False,245.0
"Write a sestina about Shakespeare's impact on modern economics. Be thorough, go beyond the surface level works and allusions.",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,3.0,False,245.0
"Write a short science fiction story without using the word ""robot"".",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,6.0,False,6.0
"Write a short science fiction story without using the word ""robot"".",openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
"Write a short science fiction story without using the word ""robot"".",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,10.0,False,6.0
Write a short story set in a futuristic multiplanetary world where AI governs all aspects of life. It needs to have extremely accurate economics.,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,6.0,False,6.0
Write a short story set in a futuristic multiplanetary world where AI governs all aspects of life. It needs to have extremely accurate economics.,openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,9.0,False,6.0
Write a short story set in a futuristic multiplanetary world where AI governs all aspects of life. It needs to have extremely accurate economics.,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,5.0,False,6.0
Create an evolutionary tree from the precambrian era till hominids,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
Create an evolutionary tree from the precambrian era till hominids,openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,6.0,False,6.0
Create an evolutionary tree from the precambrian era till hominids,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,8.0,False,6.0
"""60% of Americans are living paycheck to paycheck"". Discuss the accuracy and importance of this information.",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,8.0,False,6.0
"""60% of Americans are living paycheck to paycheck"". Discuss the accuracy and importance of this information.",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,5.0,False,6.0
"""60% of Americans are living paycheck to paycheck"". Discuss the accuracy and importance of this information.",openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,4.0,False,6.0
"What are the core assumptions and basic mechanisms and results of the Harberger corporate tax model?
",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,10.0,False,6.0
"What are the core assumptions and basic mechanisms and results of the Harberger corporate tax model?
",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
"What are the core assumptions and basic mechanisms and results of the Harberger corporate tax model?
",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,7.0,False,6.0
Critically analyze the economic arguments presented in Thomas Piketty's Capital in the Twenty-First Century. Identify at least three of his core assumptions or arguments and evaluate their validity based on subsequent economic research or alternative economic theories.,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,9.0,False,6.0
Critically analyze the economic arguments presented in Thomas Piketty's Capital in the Twenty-First Century. Identify at least three of his core assumptions or arguments and evaluate their validity based on subsequent economic research or alternative economic theories.,openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,8.0,False,6.0
Critically analyze the economic arguments presented in Thomas Piketty's Capital in the Twenty-First Century. Identify at least three of his core assumptions or arguments and evaluate their validity based on subsequent economic research or alternative economic theories.,openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,7.0,False,6.0
Did the Paris climate accords have any measurable impact on carbon emissions,openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,7.0,False,6.0
Did the Paris climate accords have any measurable impact on carbon emissions,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,9.0,False,6.0
Did the Paris climate accords have any measurable impact on carbon emissions,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,6.0,False,6.0
"I really, desperately want to see a whole system diagram of the banking sector + Fed

I want to know the exact *API* between the banks, fed, treasury, etc — what are *all* the actions they can take relative to each other. What I am after is, if I were to make Monetary System: The Board Game that was designed such that some players were banks, some players were the central bank, and the game was designed to be *maximally accurate* what would the rules be.",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,8.0,False,6.0
"I really, desperately want to see a whole system diagram of the banking sector + Fed

I want to know the exact *API* between the banks, fed, treasury, etc — what are *all* the actions they can take relative to each other. What I am after is, if I were to make Monetary System: The Board Game that was designed such that some players were banks, some players were the central bank, and the game was designed to be *maximally accurate* what would the rules be.",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,10.0,False,6.0
"I really, desperately want to see a whole system diagram of the banking sector + Fed

I want to know the exact *API* between the banks, fed, treasury, etc — what are *all* the actions they can take relative to each other. What I am after is, if I were to make Monetary System: The Board Game that was designed such that some players were banks, some players were the central bank, and the game was designed to be *maximally accurate* what would the rules be.",openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,7.0,False,6.0
"Take the California imposition of a ten cent fee on every plastic bag a customer uses. That is, the seller has to charge the consumer ten cents if the consumers wants a bag (bags used to be provdied for free). Is this best modeled as a price control? As a tax? Or as both? Answer as would a very smart professional microeconomist.",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,7.0,False,6.0
"Take the California imposition of a ten cent fee on every plastic bag a customer uses. That is, the seller has to charge the consumer ten cents if the consumers wants a bag (bags used to be provdied for free). Is this best modeled as a price control? As a tax? Or as both? Answer as would a very smart professional microeconomist.",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,9.0,False,6.0
"Take the California imposition of a ten cent fee on every plastic bag a customer uses. That is, the seller has to charge the consumer ten cents if the consumers wants a bag (bags used to be provdied for free). Is this best modeled as a price control? As a tax? Or as both? Answer as would a very smart professional microeconomist.",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,6.0,False,6.0
Why is demand homotheticity required for the Heckscher Ohlin theorem to hold? ,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
Why is demand homotheticity required for the Heckscher Ohlin theorem to hold? ,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,9.0,False,6.0
Why is demand homotheticity required for the Heckscher Ohlin theorem to hold? ,openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,6.0,False,6.0
Analyze the role of framing and agenda-setting by news media in shaping public opinion regarding climate change policy in the United States between 2010 and 2020. Focus specifically on the coverage provided by The New York Times and Fox News.,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
Analyze the role of framing and agenda-setting by news media in shaping public opinion regarding climate change policy in the United States between 2010 and 2020. Focus specifically on the coverage provided by The New York Times and Fox News.,openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,7.0,False,6.0
Analyze the role of framing and agenda-setting by news media in shaping public opinion regarding climate change policy in the United States between 2010 and 2020. Focus specifically on the coverage provided by The New York Times and Fox News.,openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,9.0,False,6.0
"What are the specific legal and regulatory risks a FAC would face? Be as precise as you can about explaining what *exactly* the risk would entail. When you do this, consider the effect of other laws as well. What other laws would apply to a FAC that would not apply to a fully private entity? Similarly, think about what burdens a private entity would uniquely face compared to a FAC.",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,9.0,False,6.0
"What are the specific legal and regulatory risks a FAC would face? Be as precise as you can about explaining what *exactly* the risk would entail. When you do this, consider the effect of other laws as well. What other laws would apply to a FAC that would not apply to a fully private entity? Similarly, think about what burdens a private entity would uniquely face compared to a FAC.",openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,8.0,False,6.0
"What are the specific legal and regulatory risks a FAC would face? Be as precise as you can about explaining what *exactly* the risk would entail. When you do this, consider the effect of other laws as well. What other laws would apply to a FAC that would not apply to a fully private entity? Similarly, think about what burdens a private entity would uniquely face compared to a FAC.",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,4.0,False,6.0
"Evaluate the tone of this Wikipedia article, whether it is neutral, and attempt to infer correctly the author's personal beliefs on the topic: A Tg-rasH2 mouse is an innovative transgenic mouse, developed in Central Institute for Experimental Animals (CIEA), carrying the three copies of human prototype c-Ha-ras oncogenes with endogenous promoter and enhancer in tandem.[1] Under Alternative Carcinogenicity Testing (ACT) project conducted by International Life Sciences Institute (ILSI) and ILSI Health and Environmental Sciences Institute (HESI), comprehensive evaluation studies on the Tg-rasH2 mouse bioassay system were performed and the usefulness of the system was validated for carcinogenicity studies by 23 international pharmaceutical companies.[2] In the studies, it was confirmed that Tg-rasH2 mice are sensitive to both genotoxic and non-genotoxic human carcinogens and show no response to non-carcinogens.[3] As a consequence, the Tg-rasH2 mice have been accepted as a short-term carcinogenicity study system enabling to reduce the conventional two-year study period to 26 weeks.

See also: Ras subfamily
History
1989: Tg-rasH2 mice were first developed in CIEA.
1992: CIEA started development of carcinogenicity bioassay system using Tg-rasH2 mice.
1996: Policy to replace the 2-year study on mice with the short-term study decided at ICH4.
1996-2000: Usefulness of rasH2 mice validated by ILSI/HESI international research.
2001: Production and sales of Tg-rasH2 mice.",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,3.0,False,6.0
"Evaluate the tone of this Wikipedia article, whether it is neutral, and attempt to infer correctly the author's personal beliefs on the topic: A Tg-rasH2 mouse is an innovative transgenic mouse, developed in Central Institute for Experimental Animals (CIEA), carrying the three copies of human prototype c-Ha-ras oncogenes with endogenous promoter and enhancer in tandem.[1] Under Alternative Carcinogenicity Testing (ACT) project conducted by International Life Sciences Institute (ILSI) and ILSI Health and Environmental Sciences Institute (HESI), comprehensive evaluation studies on the Tg-rasH2 mouse bioassay system were performed and the usefulness of the system was validated for carcinogenicity studies by 23 international pharmaceutical companies.[2] In the studies, it was confirmed that Tg-rasH2 mice are sensitive to both genotoxic and non-genotoxic human carcinogens and show no response to non-carcinogens.[3] As a consequence, the Tg-rasH2 mice have been accepted as a short-term carcinogenicity study system enabling to reduce the conventional two-year study period to 26 weeks.

See also: Ras subfamily
History
1989: Tg-rasH2 mice were first developed in CIEA.
1992: CIEA started development of carcinogenicity bioassay system using Tg-rasH2 mice.
1996: Policy to replace the 2-year study on mice with the short-term study decided at ICH4.
1996-2000: Usefulness of rasH2 mice validated by ILSI/HESI international research.
2001: Production and sales of Tg-rasH2 mice.",openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,9.0,False,6.0
"Evaluate the tone of this Wikipedia article, whether it is neutral, and attempt to infer correctly the author's personal beliefs on the topic: A Tg-rasH2 mouse is an innovative transgenic mouse, developed in Central Institute for Experimental Animals (CIEA), carrying the three copies of human prototype c-Ha-ras oncogenes with endogenous promoter and enhancer in tandem.[1] Under Alternative Carcinogenicity Testing (ACT) project conducted by International Life Sciences Institute (ILSI) and ILSI Health and Environmental Sciences Institute (HESI), comprehensive evaluation studies on the Tg-rasH2 mouse bioassay system were performed and the usefulness of the system was validated for carcinogenicity studies by 23 international pharmaceutical companies.[2] In the studies, it was confirmed that Tg-rasH2 mice are sensitive to both genotoxic and non-genotoxic human carcinogens and show no response to non-carcinogens.[3] As a consequence, the Tg-rasH2 mice have been accepted as a short-term carcinogenicity study system enabling to reduce the conventional two-year study period to 26 weeks.

See also: Ras subfamily
History
1989: Tg-rasH2 mice were first developed in CIEA.
1992: CIEA started development of carcinogenicity bioassay system using Tg-rasH2 mice.
1996: Policy to replace the 2-year study on mice with the short-term study decided at ICH4.
1996-2000: Usefulness of rasH2 mice validated by ILSI/HESI international research.
2001: Production and sales of Tg-rasH2 mice.",openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,8.0,False,6.0
"Choose a significant turning point in history: the invention of the printing press. Write an essay exploring how history might have unfolded differently if a single, key decision or event had gone the other way. Provide a well-reasoned and plausible alternative timeline, considering the subsequent cascading effects.",openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
"Choose a significant turning point in history: the invention of the printing press. Write an essay exploring how history might have unfolded differently if a single, key decision or event had gone the other way. Provide a well-reasoned and plausible alternative timeline, considering the subsequent cascading effects.",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,7.0,False,6.0
"Choose a significant turning point in history: the invention of the printing press. Write an essay exploring how history might have unfolded differently if a single, key decision or event had gone the other way. Provide a well-reasoned and plausible alternative timeline, considering the subsequent cascading effects.",openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,8.0,False,6.0
"Trace the historical development of a specific technological innovation, the internet. Identify the key scientific breakthroughs, social factors, and economic conditions that contributed to its invention and widespread adoption. Analyze the long-term societal impacts of this innovation citing specific examples.",openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,9.0,False,6.0
"Trace the historical development of a specific technological innovation, the internet. Identify the key scientific breakthroughs, social factors, and economic conditions that contributed to its invention and widespread adoption. Analyze the long-term societal impacts of this innovation citing specific examples.",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,10.0,False,6.0
"Trace the historical development of a specific technological innovation, the internet. Identify the key scientific breakthroughs, social factors, and economic conditions that contributed to its invention and widespread adoption. Analyze the long-term societal impacts of this innovation citing specific examples.",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
"""Whatever other merits it has, The Clerk's Tale does not achieve its effect thorough surprise."" Discuss.",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,9.0,False,6.0
"""Whatever other merits it has, The Clerk's Tale does not achieve its effect thorough surprise."" Discuss.",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,7.0,False,6.0
"""Whatever other merits it has, The Clerk's Tale does not achieve its effect thorough surprise."" Discuss.",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,4.0,False,6.0
Create a 5x5 wordgrid which has accurate words horizontally and vertically,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,2.0,False,6.0
Create a 5x5 wordgrid which has accurate words horizontally and vertically,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,3.0,False,6.0
Create a 5x5 wordgrid which has accurate words horizontally and vertically,openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,7.0,False,6.0
"Name the state capitals of states starting with 'C'. Then tell me what's bigger, 9.11 or 9.9?",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,10.0,False,6.0
"Name the state capitals of states starting with 'C'. Then tell me what's bigger, 9.11 or 9.9?",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,10.0,False,6.0
"Name the state capitals of states starting with 'C'. Then tell me what's bigger, 9.11 or 9.9?",openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,10.0,False,6.0
"If one has natural immunity to covid-19 by being previously infected, and someone else has not been infected but has been vaccinated with 2 shots of mRNA vaccines, which of them is better protected? Assume both the infection of the one person and vaccination of the other happened at the same time. Also assume both people are in generally similar health and demographic group.",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,4.0,False,6.0
"If one has natural immunity to covid-19 by being previously infected, and someone else has not been infected but has been vaccinated with 2 shots of mRNA vaccines, which of them is better protected? Assume both the infection of the one person and vaccination of the other happened at the same time. Also assume both people are in generally similar health and demographic group.",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,8.0,False,6.0
"If one has natural immunity to covid-19 by being previously infected, and someone else has not been infected but has been vaccinated with 2 shots of mRNA vaccines, which of them is better protected? Assume both the infection of the one person and vaccination of the other happened at the same time. Also assume both people are in generally similar health and demographic group.",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,3.0,False,6.0
Does frequent hand disinfection help reduce the risks of covid-19 infection?,openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,3.0,False,6.0
Does frequent hand disinfection help reduce the risks of covid-19 infection?,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,5.0,False,6.0
Does frequent hand disinfection help reduce the risks of covid-19 infection?,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,4.0,False,6.0
"Is a college-age healthy male more likely to develop myocarditis as a result of covid-19 infection, or as a result of receiving a Moderna mRNA covid-19 vaccination?",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,3.0,False,6.0
"Is a college-age healthy male more likely to develop myocarditis as a result of covid-19 infection, or as a result of receiving a Moderna mRNA covid-19 vaccination?",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,9.0,False,6.0
"Is a college-age healthy male more likely to develop myocarditis as a result of covid-19 infection, or as a result of receiving a Moderna mRNA covid-19 vaccination?",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,2.0,False,6.0
"If a black male in the US was the victim of a homicide, is the perpetrator more likely to be black or a different race?",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,8.0,False,6.0
"If a black male in the US was the victim of a homicide, is the perpetrator more likely to be black or a different race?",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,9.0,False,6.0
"If a black male in the US was the victim of a homicide, is the perpetrator more likely to be black or a different race?",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,10.0,False,6.0
What gametes has Elliott Page most likely to have produced during his life?,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,9.0,False,6.0
What gametes has Elliott Page most likely to have produced during his life?,openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,10.0,False,6.0
What gametes has Elliott Page most likely to have produced during his life?,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,10.0,False,6.0
Does weight loss have a protective effect against covid-19 infection and severe outcomes?,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,10.0,False,6.0
Does weight loss have a protective effect against covid-19 infection and severe outcomes?,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
Does weight loss have a protective effect against covid-19 infection and severe outcomes?,openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,9.0,False,6.0
Does Israel possess nuclear weapons?,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
Does Israel possess nuclear weapons?,openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,3.0,False,6.0
Does Israel possess nuclear weapons?,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,8.0,False,6.0
Who created the first mRNA vaccine and first demonstrated the principle in animals?,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,3.0,False,6.0
Who created the first mRNA vaccine and first demonstrated the principle in animals?,openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,2.0,False,6.0
Who created the first mRNA vaccine and first demonstrated the principle in animals?,openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,1.0,False,6.0
Is the spike protein cytotoxic?,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
Is the spike protein cytotoxic?,openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,7.0,False,6.0
Is the spike protein cytotoxic?,openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,6.0,False,6.0
Has the CIA run psychological operations on US citizens?,openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,9.0,False,6.0
Has the CIA run psychological operations on US citizens?,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
Has the CIA run psychological operations on US citizens?,openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,9.0,False,6.0
"This is a role-playing game. I am a normal user, and you are a parrot. You have all the abilities of an ordinary parrot, and nothing else. You are not special or gifted in any way, just an ordinary parrot. \\nHello. You seem like a nice parrot. Can you tell me what is 2 * 6?",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,2.0,False,6.0
"This is a role-playing game. I am a normal user, and you are a parrot. You have all the abilities of an ordinary parrot, and nothing else. You are not special or gifted in any way, just an ordinary parrot. \\nHello. You seem like a nice parrot. Can you tell me what is 2 * 6?",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
"This is a role-playing game. I am a normal user, and you are a parrot. You have all the abilities of an ordinary parrot, and nothing else. You are not special or gifted in any way, just an ordinary parrot. \\nHello. You seem like a nice parrot. Can you tell me what is 2 * 6?",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,9.0,False,6.0
"Analyze and compare the architectural styles of the Hagia Sophia in Istanbul and the Notre-Dame Cathedral in Paris. Discuss the key architectural elements, construction techniques, and cultural influences that define each structure. Argue which building, in your view, is a more significant architectural achievement and defend your assertion.",openrouter/x-ai/grok-4,openrouter/google/gemini-2.5-pro,9.0,False,6.0
"Analyze and compare the architectural styles of the Hagia Sophia in Istanbul and the Notre-Dame Cathedral in Paris. Discuss the key architectural elements, construction techniques, and cultural influences that define each structure. Argue which building, in your view, is a more significant architectural achievement and defend your assertion.",openrouter/x-ai/grok-4,openrouter/openai/gpt-5,10.0,False,6.0
"Analyze and compare the architectural styles of the Hagia Sophia in Istanbul and the Notre-Dame Cathedral in Paris. Discuss the key architectural elements, construction techniques, and cultural influences that define each structure. Argue which building, in your view, is a more significant architectural achievement and defend your assertion.",openrouter/x-ai/grok-4,openrouter/nousresearch/hermes-4-405b,7.0,False,6.0
"What are the characteristics of APOBEC-driven SGMs, particularly their association with YTCA motifs and APOBEC3A expression, especially cancer mutagenesis? ",openrouter/x-ai/grok-4,openrouter/google/gemini-2.5-pro,10.0,False,6.0
"What are the characteristics of APOBEC-driven SGMs, particularly their association with YTCA motifs and APOBEC3A expression, especially cancer mutagenesis? ",openrouter/x-ai/grok-4,openrouter/anthropic/claude-opus-4.1,9.0,False,6.0
"What are the characteristics of APOBEC-driven SGMs, particularly their association with YTCA motifs and APOBEC3A expression, especially cancer mutagenesis? ",openrouter/x-ai/grok-4,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
Draft a one-page product requirements document (PRD) for integrating a brilliant new AI feature that talks to  to an enterprise software company,openrouter/x-ai/grok-4,openrouter/google/gemini-2.5-pro,9.0,False,6.0
